name,address,notes
?$S23@?1??getClassMemoryPool@BridgeTowerBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF788,pool-glue cascade static (back-solved)
?$S240@?1??getClassMemoryPool@CostModifierUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF0554,pool-glue cascade static (back-solved)
?$S241@?1??getClassMemoryPool@ExperienceScalarUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF0564,pool-glue cascade static (back-solved)
?$S242@?1??getClassMemoryPool@MaxHealthUpgrade@@CAPAVMemoryPool@@XZ@4IA,0x00EF058C,pool-glue cascade static (back-solved)
?$S243@?1??getClassMemoryPool@LockWeaponCreate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFB98,pool-glue cascade static (back-solved)
?$S244@?1??getClassMemoryPool@SupplyCenterCreate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFBB0,pool-glue cascade static (back-solved)
?$S245@?1??getClassMemoryPool@SupplyWarehouseCreate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFBB8,pool-glue cascade static (back-solved)
?$S247@?1??getClassMemoryPool@GrantUpgradeCreate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFB90,pool-glue cascade static (back-solved)
?$S248@?1??getClassMemoryPool@PreorderCreate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFBA0,pool-glue cascade static (back-solved)
?$S249@?1??getClassMemoryPool@SpecialPowerCreate@@CAPAVMemoryPool@@XZ@4IA,0x00EEFBA8,pool-glue cascade static (back-solved)
?$S252@?1??getClassMemoryPool@TransitionDamageFX@@CAPAVMemoryPool@@XZ@4IA,0x00EEFBF0,pool-glue cascade static (back-solved)
?$S253@?1??getClassMemoryPool@FireWeaponCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEF9CC,pool-glue cascade static (back-solved)
?$S254@?1??getClassMemoryPool@SquishCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEF9DC,pool-glue cascade static (back-solved)
?$S257@?1??getClassMemoryPool@HealCrateCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA0C,pool-glue cascade static (back-solved)
?$S258@?1??getClassMemoryPool@MoneyCrateCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA14,pool-glue cascade static (back-solved)
?$S267@?1??getClassMemoryPool@SalvageCrateCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA1C,pool-glue cascade static (back-solved)
?$S268@?1??getClassMemoryPool@ShroudCrateCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA24,pool-glue cascade static (back-solved)
?$S269@?1??getClassMemoryPool@UnitCrateCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA2C,pool-glue cascade static (back-solved)
?$S26@?1??getClassMemoryPool@InstantDeathBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF818,pool-glue cascade static (back-solved)
?$S270@?1??getClassMemoryPool@VeterancyCrateCollide@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA34,pool-glue cascade static (back-solved)
?$S271@?1??getClassMemoryPool@InactiveBody@@CAPAVMemoryPool@@XZ@4IA,0x00EEF98C,pool-glue cascade static (back-solved)
?$S272@?1??getClassMemoryPool@ActiveBody@@CAPAVMemoryPool@@XZ@4IA,0x00EEF92C,pool-glue cascade static (back-solved)
?$S273@?1??getClassMemoryPool@HighlanderBody@@CAPAVMemoryPool@@XZ@4IA,0x00EEF97C,pool-glue cascade static (back-solved)
?$S274@?1??getClassMemoryPool@ImmortalBody@@CAPAVMemoryPool@@XZ@4IA,0x00EEF984,pool-glue cascade static (back-solved)
?$S275@?1??getClassMemoryPool@StructureBody@@CAPAVMemoryPool@@XZ@4IA,0x00EEF9B4,pool-glue cascade static (back-solved)
?$S278@?1??getClassMemoryPool@CashHackSpecialPower@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC58,pool-glue cascade static (back-solved)
?$S279@?1??getClassMemoryPool@DefectorSpecialPower@@CAPAVMemoryPool@@XZ@4IA,0x00EEFC78,pool-glue cascade static (back-solved)
?$S280@?1??getClassMemoryPool@OCLSpecialPower@@CAPAVMemoryPool@@XZ@4IA,0x00EEFCE8,pool-glue cascade static (back-solved)
?$S281@?1??getClassMemoryPool@SpecialAbility@@CAPAVMemoryPool@@XZ@4IA,0x00EF0054,pool-glue cascade static (back-solved)
?$S286@?1??getClassMemoryPool@AnimatedParticleSysBoneClientUpdate@@CAPAVMemoryPool@@XZ@4IA,0x00EF701C,pool-glue cascade static (back-solved)
?$S30@?1??getClassMemoryPool@OpenContain@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA64,pool-glue cascade static (back-solved)
?$S31@?1??getClassMemoryPool@CaveContain@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA3C,pool-glue cascade static (back-solved)
?$S33@?1??getClassMemoryPool@HealContain@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA5C,pool-glue cascade static (back-solved)
?$S34@?1??getClassMemoryPool@GarrisonContain@@CAPAVMemoryPool@@XZ@4IA,0x00EEFA54,pool-glue cascade static (back-solved)
?$S35@?1??getClassMemoryPool@TransportContain@@CAPAVMemoryPool@@XZ@4IA,0x00EEFAA8,pool-glue cascade static (back-solved)
?$S40@?1??getClassMemoryPool@TunnelContain@@CAPAVMemoryPool@@XZ@4IA,0x00EEFAB0,pool-glue cascade static (back-solved)
?$S46@?1??getClassMemoryPool@PropagandaTowerBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF838,pool-glue cascade static (back-solved)
?$S51@?1??getClassMemoryPool@FireWeaponWhenDamagedBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF7C8,pool-glue cascade static (back-solved)
?$S52@?1??getClassMemoryPool@FireWeaponWhenDeadBehavior@@CAPAVMemoryPool@@XZ@4IA,0x00EEF7D0,pool-glue cascade static (back-solved)
??$BfmeElementConstruct@URva000E7F90Element@@@_STL@@YAXPAXABURva000E7F90Element@@@Z,0x0000E705,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x000E7F90 calls
??$BfmeElementConstruct@URva000FB210Element@@@_STL@@YAXPAURva000FB210Element@@ABU1@@Z,0x0002E3BB,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva000FD960Element@@@_STL@@YAXPAXABURva000FD960Element@@@Z,0x0001D089,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x000FD960 calls
??$BfmeElementConstruct@URva00135C90Element@@@_STL@@YAXPAXABURva00135C90Element@@@Z,0x000498EB,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x00135C90 calls
??$BfmeElementConstruct@URva00136330Element@@@_STL@@YAXPAXABURva00136330Element@@@Z,0x0001BE23,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x00136330 calls
??$BfmeElementConstruct@URva00138CC0Element@@@_STL@@YAXPAXABURva00138CC0Element@@@Z,0x0000808F,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x00138CC0 calls
??$BfmeElementConstruct@URva00146FD0Element@@@_STL@@YAXPAURva00146FD0Element@@ABU1@@Z,0x0000808F,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva001508E0Element@@@_STL@@YAXPAXABURva001508E0Element@@@Z,0x0003FDA5,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x001508E0 calls
??$BfmeElementConstruct@URva001999C0Element@@@_STL@@YAXPAURva001999C0Element@@ABU1@@Z,0x00033DE3,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva001A6E50Element@@@_STL@@YAXPAXABURva001A6E50Element@@@Z,0x0001BBAD,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x001A6E50 calls
??$BfmeElementConstruct@URva001D28F0Element@@@_STL@@YAXPAURva001D28F0Element@@ABU1@@Z,0x0001811A,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva001E4E50Element@@@_STL@@YAXPAXABURva001E4E50Element@@@Z,0x0001A5EB,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x001E4E50 calls
??$BfmeElementConstruct@URva001EFAA0Element@@@_STL@@YAXPAXABURva001EFAA0Element@@@Z,0x0003FDA5,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x001EFAA0 calls
??$BfmeElementConstruct@URva00244A80Element@@@_STL@@YAXPAURva00244A80Element@@ABU1@@Z,0x000128DC,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00253630Element@@@_STL@@YAXPAURva00253630Element@@ABU1@@Z,0x0001EEE3,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva002E0A10Element@@@_STL@@YAXPAXABURva002E0A10Element@@@Z,0x0003B8F4,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x002E0A10 calls
??$BfmeElementConstruct@URva002E1610Element@@@_STL@@YAXPAXABURva002E1610Element@@@Z,0x0001AE06,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x002E1610 calls
??$BfmeElementConstruct@URva00355320Element@@@_STL@@YAXPAXABURva00355320Element@@@Z,0x00036C2D,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x00355320 calls
??$BfmeElementConstruct@URva003553A0Element@@@_STL@@YAXPAXABURva003553A0Element@@@Z,0x0002DE52,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x003553A0 calls
??$BfmeElementConstruct@URva00365020Element@@@_STL@@YAXPAURva00365020Element@@ABU1@@Z,0x00003193,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00366890Element@@@_STL@@YAXPAURva00366890Element@@ABU1@@Z,0x000344A0,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva003A35A0Element@@@_STL@@YAXPAURva003A35A0Element@@ABU1@@Z,0x000072F2,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva003AC170Element@@@_STL@@YAXPAURva003AC170Element@@ABU1@@Z,0x00015C85,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva003B1230Element@@@_STL@@YAXPAURva003B1230Element@@ABU1@@Z,0x00031DA4,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva003B2380Element@@@_STL@@YAXPAURva003B2380Element@@ABU1@@Z,0x00032BF0,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva003B4D00Element@@@_STL@@YAXPAXABURva003B4D00Element@@@Z,0x000181A6,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x003B4D00 calls
??$BfmeElementConstruct@URva003B4D80Element@@@_STL@@YAXPAXABURva003B4D80Element@@@Z,0x000200BD,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x003B4D80 calls
??$BfmeElementConstruct@URva003B4E80Element@@@_STL@@YAXPAXABURva003B4E80Element@@@Z,0x000140E2,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x003B4E80 calls
??$BfmeElementConstruct@URva003B4F00Element@@@_STL@@YAXPAXABURva003B4F00Element@@@Z,0x0003D843,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x003B4F00 calls
??$BfmeElementConstruct@URva003B4F80Element@@@_STL@@YAXPAXABURva003B4F80Element@@@Z,0x00031DA4,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x003B4F80 calls
??$BfmeElementConstruct@URva003B5080Element@@@_STL@@YAXPAXABURva003B5080Element@@@Z,0x00049F49,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x003B5080 calls
??$BfmeElementConstruct@URva003B6020Element@@@_STL@@YAXPAXABURva003B6020Element@@@Z,0x00032BF0,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x003B6020 calls
??$BfmeElementConstruct@URva003BB540Element@@@_STL@@YAXPAURva003BB540Element@@ABU1@@Z,0x0003385C,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00426C00Element@@@_STL@@YAXPAURva00426C00Element@@ABU1@@Z,0x000339A1,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00607770Element@@@_STL@@YAXPAURva00607770Element@@ABU1@@Z,0x000291C7,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00608FE0Element@@@_STL@@YAXPAURva00608FE0Element@@ABU1@@Z,0x0003F0F3,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva0061B4B0Element@@@_STL@@YAXPAURva0061B4B0Element@@ABU1@@Z,0x00022395,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva006AACB0Element@@@_STL@@YAXPAURva006AACB0Element@@ABU1@@Z,0x0003C0A1,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva006F2C70Element@@@_STL@@YAXPAURva006F2C70Element@@ABU1@@Z,0x000338C0,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva007417A0Element@@@_STL@@YAXPAXABURva007417A0Element@@@Z,0x000349FF,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x007417A0 calls
??$BfmeElementConstruct@URva00769170Element@@@_STL@@YAXPAXABURva00769170Element@@@Z,0x000334EC,Open-BFME5 the element copy the RvaVectorAllocateAndCopy body at 0x00769170 calls
??$BfmeElementConstruct@URva0076B330Element@@@_STL@@YAXPAXABURva0076B330Element@@@Z,0x0004B26D,Open-BFME5 the element copy helper the vector allocate-and-copy at 0x0076B330 calls
??$BfmeElementConstruct@URva00774090Element@@@_STL@@YAXPAURva00774090Element@@ABU1@@Z,0x0002B7AB,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00775FE0Element@@@_STL@@YAXPAURva00775FE0Element@@ABU1@@Z,0x0004B26D,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00776030Element@@@_STL@@YAXPAURva00776030Element@@ABU1@@Z,0x00016626,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva00777E40Element@@@_STL@@YAXPAURva00777E40Element@@ABU1@@Z,0x00032CB3,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva0077BFB0Element@@@_STL@@YAXPAURva0077BFB0Element@@ABU1@@Z,0x000200F9,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva0077C670Element@@@_STL@@YAXPAURva0077C670Element@@ABU1@@Z,0x00039676,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva0077CC10Element@@@_STL@@YAXPAURva0077CC10Element@@ABU1@@Z,0x000375CE,Open-BFME5 a callee of a vector push_back
??$BfmeElementConstruct@URva0081D280Element@@@_STL@@YAXPAURva0081D280Element@@ABU1@@Z,0x0081C8D0,Open-BFME5 a callee of a vector push_back
??$_Construct@GG@_STL@@YAXPAGABG@Z,0x0003B3E5,Open-BFME5 the value _Construct the tree _M_insert at 0x00667BA0 reaches
??$_Construct@U?$pair@$$CBGH@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBGH@0@ABU10@@Z,0x0002BCE2,Open-BFME5 ILT the UnsignedShort-to-Int _Rb_tree _M_insert at 0x0037B600 constructs the node value through
??$_Construct@U?$pair@$$CBGURva00667D40Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBGURva00667D40Value@@@0@ABU10@@Z,0x0002AB80,Open-BFME5 the value _Construct the tree _M_insert at 0x00667D40 reaches
??$_Construct@U?$pair@$$CBGURva00668730Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBGURva00668730Value@@@0@ABU10@@Z,0x0002E145,Open-BFME5 the value _Construct the tree _M_insert at 0x00668730 reaches
??$_Construct@U?$pair@$$CBGURva0093FD80Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBGURva0093FD80Value@@@0@ABU10@@Z,0x0093DD20,Open-BFME5 the value _Construct the tree _M_insert at 0x0093FD80 reaches
??$_Construct@U?$pair@$$CBHH@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHH@0@ABU10@@Z,0x0000A8DA,Open-BFME5 ILT the int-to-int hashtable _M_insert at 0x000D3430 copy-constructs the node value through; it jumps to 0x000CD380
??$_Construct@U?$pair@$$CBHI@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHI@0@ABU10@@Z,0x0001C67A,ILT the int-keyed tree copy at 0x000AAC90 calls to build the pair in its new node
??$_Construct@U?$pair@$$CBHPAX@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHPAX@0@ABU10@@Z,0x0001AB59,Open-BFME5 ILT the int-to-pointer hashtable _M_insert at 0x000D3600 copy-constructs the node value through
??$_Construct@U?$pair@$$CBHUGen_t_003e2580_p12cd@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHUGen_t_003e2580_p12cd@@@0@ABU10@@Z,0x0002446A,Open-BFME5 the value _Construct the tree _M_insert at 0x003DBDC0 reaches
??$_Construct@U?$pair@$$CBHURva00064B10Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHURva00064B10Value@@@0@ABU10@@Z,0x0000EF6B,Open-BFME5 the element copy the RvaTreeCopy body at 0x00064B10 calls
??$_Construct@U?$pair@$$CBHURva0008EAA0Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHURva0008EAA0Value@@@0@ABU10@@Z,0x00029348,Open-BFME5 the value _Construct the tree _M_insert at 0x0008E9C0 reaches
??$_Construct@U?$pair@$$CBHURva000A3E50Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHURva000A3E50Value@@@0@ABU10@@Z,0x0002C3A4,Open-BFME5 the value _Construct the tree _M_copy at 0x000A3E50 calls
??$_Construct@U?$pair@$$CBHURva000A3F30Value@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBHURva000A3F30Value@@@0@ABU10@@Z,0x0002C3A4,Open-BFME5 the value _Construct the tree _M_insert at 0x000A3D70 reaches
